analysis_id,85ba2tf1vtdsf1j
mouse_strain,C57BL
pvalue,0.2365726
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_name,Coat - color pattern - back
parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,Early adult
