gene_symbol,Rap2b
gene_accession_id,MGI:1921262
parameter_name,Percent time in dark
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_008_001
analysis_id,wb3fuz540w31s2e
pvalue,0.1545629
