parameter_name,Total holepokes
mouse_life_stage,Early adult
pvalue,0.05865896
gene_symbol,Amigo1
parameter_id,JAXLA_HBD_001_001
mouse_strain,C57BL
gene_accession_id,MGI:2653612
analysis_id,79xmfp33689968m
