analysis_id,f54468h54913pjn
parameter_id,IMPC_CSD_029_001
gene_accession_id,MGI:1929242
parameter_name,Activity (body position)
pvalue,0.7362281
gene_symbol,Ivd
mouse_strain,C57BL
mouse_life_stage,Early adult
