gene_symbol,Casq1
parameter_id,MGP_PBI_035_001
parameter_name,IgD+ mature B cell number
mouse_strain,C57BL
gene_accession_id,MGI:1309468
mouse_life_stage,Early adult
pvalue,0.8285152
analysis_id,xy76nomv0p9i3yu
