analysis_id,k1y2m1nefc8m8v8
mouse_life_stage,Early adult
parameter_name,lens opacity
gene_symbol,Bpifa3
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1920638
mouse_strain,129SV
pvalue,0.9751345
