analysis_id,bz7my9a5ia8d455
parameter_id,HMGULA_CBC_003_001
gene_accession_id,MGI:1919949
mouse_strain,C57BL
pvalue,0.6105688
parameter_name,Chloride
mouse_life_stage,Early adult
gene_symbol,Lime1
