analysis_id,e2u8617dm731q19
gene_accession_id,MGI:109585
pvalue,0.3234688
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_CSD_030_001
gene_symbol,Pld1
parameter_name,Limb coat/hair presence
