analysis_id,o2k61d7kzdh7202
parameter_name,Limb grasping
gene_accession_id,MGI:88380
parameter_id,ESLIM_008_001_017
mouse_life_stage,Early adult
pvalue,0.2759325
mouse_strain,C57BL
gene_symbol,F2
