mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.7773915
gene_accession_id,MGI:2441730
parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
analysis_id,3moyavv4458t498
gene_symbol,Tbl1xr1
