parameter_id,JAX_SLW_014_001
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
gene_symbol,Rab17
analysis_id,qdj0287918nwfi9
pvalue,0.9725794
