analysis_id,vck38510x1i6j77
mouse_strain,C57BL
gene_accession_id,MGI:1915848
mouse_life_stage,Early adult
pvalue,0.171199
parameter_name,UIBC (unsaturated iron binding capacity)
gene_symbol,Dnajc8
parameter_id,IMPC_CBC_024_001
