parameter_name,Hindpaw - size
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_041_002
gene_accession_id,MGI:109356
analysis_id,7ys2fu116zgjrl0
pvalue,0.3940641
gene_symbol,Snap23
mouse_strain,C57BL
