analysis_id,alqbzfp9k3ks209
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.3712489
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
gene_accession_id,MGI:1917810
gene_symbol,Wars2
