parameter_name,Time mobile light side
mouse_strain,C57BL
analysis_id,108tm5fbv447q6a
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
parameter_id,JAX_LDT_003_001
gene_symbol,Trim46
pvalue,1.468224e-06
