parameter_name,Hemoglobin
analysis_id,uso3i175i4hj1vf
pvalue,0.8174357
gene_accession_id,MGI:1336200
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
gene_symbol,Hpca
mouse_strain,C57BL
