analysis_id,z61260491rbvm62
parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.1326268
gene_accession_id,MGI:1914309
gene_symbol,Ola1
