analysis_id,3dey1szqhe0e4ma
pvalue,0.4415893
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
gene_symbol,Dhdds
parameter_name,Snout size
gene_accession_id,MGI:1914672
