analysis_id,k7hinw3p673pi99
parameter_name,Dark side time spent
pvalue,0.08921734
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
gene_symbol,Pld1
