gene_symbol,Snap23
gene_accession_id,MGI:109356
pvalue,0.5294365
parameter_id,MGP_MLN_031_001
parameter_name,Total NK cells - % of CD45+
analysis_id,c76eq73t5146oza
mouse_life_stage,Early adult
mouse_strain,C57BL
