analysis_id,w7ti097478u27la
mouse_life_stage,Early adult
pvalue,0.4609326
parameter_name,Shape of vertebrae
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
parameter_id,IMPC_XRY_018_001
mouse_strain,C57BL
