parameter_name,Lean/Body weight
gene_symbol,Hpca
parameter_id,ESLIM_005_001_702
mouse_strain,C57BL
analysis_id,2a9c3gi1ius8v18
mouse_life_stage,Early adult
pvalue,0.4028618
gene_accession_id,MGI:1336200
