parameter_name,Thoracic processes
analysis_id,tl50nd269g7r28v
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:1914309
gene_symbol,Ola1
mouse_strain,C57BL
pvalue,0.7544889
mouse_life_stage,E18.5
