analysis_id,x7fg9q89ty89sa0
mouse_strain,C57BL
pvalue,0.8867952
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_MLN_071_001
