gene_symbol,Mgst2
parameter_name,Periphery permanence time
parameter_id,IMPC_OFD_012_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
mouse_strain,C57BL
pvalue,0.5773065
analysis_id,79874w0gq5cph90
