parameter_name,Total T cell percentage
gene_symbol,Ahcy
mouse_life_stage,E12.5
pvalue,0.3826843
gene_accession_id,MGI:87968
mouse_strain,C57BL
analysis_id,w4fwy3o29aik29h
parameter_id,MGP_PBI_001_001
