gene_symbol,Trp53rkb
analysis_id,5x5nawx7ww31m3y
pvalue,0.2557893
mouse_strain,C57BL
gene_accession_id,MGI:1914050
parameter_id,HRWLLA_GRS_010_001
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength normalised against body weight
