gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
pvalue,0.4208652
parameter_id,ICS_FEA_019_001
analysis_id,nx9q1468h47e1m5
mouse_strain,C57BL
gene_accession_id,MGI:1276578
