parameter_id,HRWLLA_GRS_010_001
parameter_name,Forelimb grip strength normalised against body weight
mouse_life_stage,Early adult
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
pvalue,0.8722055
mouse_strain,C57BL
analysis_id,3iz9502623r18nn
