parameter_name,Hemoglobin
analysis_id,9l8u60l178cxk7n
parameter_id,IMPC_HEM_003_001
pvalue,0.2771716
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
