analysis_id,38b0a5f8j3ba0z8
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_067_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_strain,C57BL
pvalue,0.5908837
mouse_life_stage,Early adult
