parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,l90279819e541vb
gene_symbol,Ola1
pvalue,0.5109675
gene_accession_id,MGI:1914309
parameter_id,HRWLLA_CBC_014_001
