analysis_id,225o51f52t07e01
mouse_strain,C57BL
pvalue,0.7630795
parameter_name,KLRG1+ Treg cells - % of Treg
mouse_life_stage,E12.5
parameter_id,MGP_MLN_011_001
gene_accession_id,MGI:97838
gene_symbol,Eprs1
