analysis_id,ke6izab41t69082
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
parameter_id,ESLIM_016_001_003
parameter_name,Haemoglobin
mouse_strain,C57BL
pvalue,0.7763864
mouse_life_stage,Early adult
