analysis_id,6hyj9a3gp606y57
pvalue,0.5930222
gene_symbol,Cmpk1
mouse_strain,C57BL
parameter_name,Activity (body position)
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
parameter_id,IMPC_CSD_029_001
