parameter_id,IMPC_CAL_008_001
analysis_id,7y2byx6j6pr6ex3
gene_accession_id,MGI:88174
mouse_strain,C57BL
pvalue,0.6087621
mouse_life_stage,Early adult
gene_symbol,Bmi1
parameter_name,Total food intake
