gene_symbol,Wars2
pvalue,0.2440283
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
parameter_id,JAX_OFD_020_001
mouse_strain,C57BL
parameter_name,Distance travelled - total
analysis_id,96jvh5300y0hgh3
