parameter_name,HR
gene_symbol,Tiprl
mouse_life_stage,Early adult
parameter_id,JAXLA_ECG_002_001
mouse_strain,C57BL
analysis_id,xuys0iuppp527n3
pvalue,0.8923299
gene_accession_id,MGI:1915087
