gene_symbol,Nemp2
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
pvalue,0.689445
analysis_id,x575pu4s4fd67ms
