gene_symbol,Zcchc2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_006_001
pvalue,0.8907452
analysis_id,yi024x1183796g9
parameter_name,Narrow eye opening
gene_accession_id,MGI:2444114
