analysis_id,dj6qdmw49z36t86
mouse_life_stage,Early adult
gene_symbol,Clvs1
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
gene_accession_id,MGI:1921688
pvalue,0.1600302
