parameter_name,White blood cell count
parameter_id,IMPC_HEM_001_001
gene_symbol,Traf6
pvalue,0.8451799
mouse_strain,C57BL
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
analysis_id,01a1105w2aobmdh
