pvalue,1.32685e-09
gene_symbol,Rab3gap2
parameter_id,IMPC_CSD_028_001
parameter_name,Snout size
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
analysis_id,0hjfumg7v13u580
