parameter_id,IMPC_CAL_008_001
pvalue,0.7260266
mouse_strain,C57BL
parameter_name,Total food intake
gene_accession_id,MGI:3033992
analysis_id,d1788gf0n30e72p
mouse_life_stage,Early adult
gene_symbol,Cldn19
