analysis_id,3i07r5s36lss25f
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.8341536
gene_symbol,Cd52
