analysis_id,6c2de6388686m20
pvalue,0.8841308
gene_symbol,Trp53rkb
parameter_id,IMPC_IMM_069_001
mouse_life_stage,Early adult
parameter_name,Transitional B Cells (CD21/35 low)
gene_accession_id,MGI:1914050
mouse_strain,C57BL
