analysis_id,f7tc3gs1w6p8c75
parameter_name,DN CD25- NKT cells
gene_symbol,Tnfsf8
parameter_id,IMPC_IMM_025_001
gene_accession_id,MGI:88328
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8648623
