analysis_id,0932lzi3tv080mg
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
parameter_id,HRWLLA_CBC_014_001
pvalue,0.794544
mouse_strain,C57BL
gene_accession_id,MGI:105072
gene_symbol,Rab22a
