parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
pvalue,0.152944
gene_symbol,Tox
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
analysis_id,g3159n03541zn42
gene_accession_id,MGI:2181659
