analysis_id,o2tec9i2325690d
pvalue,0.3371472
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
