analysis_id,9e9qdtm2mek15jz
parameter_id,MGP_PBI_014_001
parameter_name,B cell percentage
pvalue,0.1130347
mouse_strain,C57BL
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
mouse_life_stage,Early adult
