analysis_id,x9fa00f44y4751e
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
gene_symbol,Slc45a3
pvalue,0.4618645
