analysis_id,28xq2v83b7fv351
mouse_life_stage,Early adult
pvalue,0.08281654
parameter_id,JAXLA_OFD_017_001
mouse_strain,129SV
gene_symbol,Cntfr
parameter_name,Center average speed
gene_accession_id,MGI:99605
