analysis_id,909435n0r72g8e9
gene_symbol,Bmp7
pvalue,0.1746975
parameter_id,IMPC_EYE_009_001
parameter_name,Corneal vascularization
mouse_strain,C57BL
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
