gene_symbol,Ints7
mouse_strain,C57BL
analysis_id,694y77yru4yp4h5
parameter_id,MGP_IMM_014_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.6011647
gene_accession_id,MGI:1924315
