parameter_name,Tibia
analysis_id,d6av8215v90n004
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
pvalue,0.3925897
gene_symbol,Mecom
gene_accession_id,MGI:95457
