analysis_id,18075k03r9kc0f4
gene_symbol,Hspa5
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.3416177
parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:95835
parameter_name,Skull shape
