parameter_id,IMPC_GEO_064_001
gene_symbol,Ift74
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,83wh39e0u4s9y2g
pvalue,0.4377449
gene_accession_id,MGI:1914944
parameter_name,Edema
