analysis_id,t0u736j17ws5fd3
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
parameter_id,ESLIM_011_001_007
parameter_name,PP1 + pulse startle magnitude
mouse_life_stage,Early adult
pvalue,0.09630973
mouse_strain,C57BL
