analysis_id,ip249woi2d0rg87
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_life_stage,Middle aged adult
pvalue,0.7739505
parameter_id,ESLIM_016_001_005
parameter_name,Mean cell volume
