parameter_name,PQ
analysis_id,r3o3497sf3yf691
gene_symbol,Fpgs
parameter_id,IMPC_ECG_005_001
pvalue,0.5046051
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:95576
