parameter_id,IMPC_OFD_018_001
analysis_id,o1p1913w33ige93
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Latency to center entry
pvalue,0.9162576
gene_accession_id,MGI:2442483
gene_symbol,Usp37
