parameter_name,Iron
pvalue,0.5877972
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
analysis_id,oa6ru88k156kji1
mouse_strain,C57BL
