gene_symbol,Zyg11b
mouse_life_stage,Early adult
pvalue,0.7543751
analysis_id,0y101j6h4a99qf3
parameter_id,MGP_MLN_067_001
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:2685277
